Customer ID,Name,Age,Gender,City,State,Income Level (INR),Tenure (Months),Number of Activations,Number of Reactivations,Number of Cancels,Number of Products Owned,Types of Products,Average Monthly Spending (INR),Emails Sent,Calls Made,Returns,App Usage Frequency (per week),Product Events (per day),Attrition Risk
363965,Gunbir Batra,74,Male,Sultan Pur Majra,Mizoram,173358,67,1,2,2,6,Locks,926.4,25,10,0,35,19,No
753589,Vedika Manne,44,Other,Tenali,Tripura,127949,110,4,2,2,3,"Cameras, Alarms",4998.98,26,10,1,47,31,No
235721,Dakshesh Kaur,33,Female,Ramgarh,Andhra Pradesh,72106,71,0,3,1,6,"Cameras, Locks, Doorbells",4854.95,22,1,4,42,61,No
184162,Chandran Baria,39,Female,Raurkela Industrial Township,Bihar,102241,24,5,0,0,7,Doorbells,1726.97,29,8,3,6,98,Yes
977526,Radhika Bali,39,Other,Udaipur,Manipur,129392,54,3,2,2,7,Doorbells,2765.51,45,2,3,32,4,No
346636,Urishilla Dave,21,Male,Parbhani,Maharashtra,54989,43,2,3,1,5,Locks,2474.01,11,11,0,22,42,No
335242,William Dugal,53,Other,Karnal,Punjab,55560,29,3,2,2,3,"Doorbells, Sensors, Cameras",2865.15,10,6,3,25,85,Yes
227693,Frado Suri,71,Female,Kanpur,Uttarakhand,102581,120,4,0,1,5,"Alarms, Doorbells",3045.21,20,15,1,12,88,No
546492,Darika Ghosh,43,Male,Ahmedabad,Assam,45762,115,3,2,1,9,"Locks, Doorbells",1165.55,21,7,5,20,65,No
405370,Tejas Pau,29,Male,Unnao,Jharkhand,33285,57,1,0,0,2,"Cameras, Sensors",2211.53,22,9,1,16,85,No
709973,Unnati Deol,55,Female,Jehanabad,Assam,182608,92,1,3,1,3,"Locks, Doorbells",1428.35,24,17,0,0,50,No
251796,Zarna Patel,31,Other,Raipur,Maharashtra,86216,78,3,0,0,3,"Sensors, Cameras, Doorbells",1483.25,48,19,5,37,50,No
417139,Amaira Sarraf,31,Male,Guntakal,Uttar Pradesh,63962,112,5,2,1,1,Sensors,2187.35,18,20,0,17,19,No
158215,David Pradhan,48,Other,Mangalore,Gujarat,60952,63,3,2,1,2,"Alarms, Locks, Cameras",3671.22,37,18,4,10,40,Yes
